Date,Close/Last,Volume,Open,High,Low
02/22/2024,$174.58,55392350,$173.10,$174.80,$171.77
02/21/2024,$168.59,44575620,$168.94,$170.23,$167.14
02/20/2024,$167.08,41980330,$167.83,$168.71,$165.74
02/16/2024,$169.51,48107740,$168.74,$170.42,$167.17
02/15/2024,$169.80,49855200,$170.58,$171.17,$167.59
02/14/2024,$170.98,42815540,$169.21,$171.21,$168.28
02/13/2024,$168.64,56345120,$167.73,$170.95,$165.75
02/12/2024,$172.34,51050440,$174.80,$175.39,$171.54
02/09/2024,$174.45,56985990,$170.90,$175.00,$170.5803
02/08/2024,$169.84,42316450,$169.65,$171.43,$168.88
02/07/2024,$170.53,47174060,$169.48,$170.88,$168.94
02/06/2024,$169.15,42505520,$169.39,$170.71,$167.65
02/05/2024,$170.31,55081300,$170.20,$170.55,$167.70
02/02/2024,$171.81,117218300,$169.19,$172.50,$167.33
02/01/2024,$159.28,76542420,$155.87,$159.76,$155.62
01/31/2024,$155.20,50284370,$157.00,$159.01,$154.81
01/30/2024,$159.00,45207430,$160.70,$161.73,$158.49
01/29/2024,$161.26,45270390,$159.34,$161.29,$158.90
01/26/2024,$159.12,51047350,$158.42,$160.72,$157.91
01/25/2024,$157.75,43638590,$156.95,$158.505,$154.5501
01/24/2024,$156.87,48547320,$157.80,$158.51,$156.48
01/23/2024,$156.02,37986040,$154.85,$156.21,$153.93
